# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3691.500 0.19 1.42 7.46 4.80 0.33 4.26 12.93 14.40
3692.000 0.19 1.42 7.47 4.81 0.33 4.27 12.93 14.43
3692.500 0.19 1.43 7.47 4.82 0.33 4.28 12.93 14.45
3693.000 0.19 1.43 7.47 4.82 0.33 4.29 12.93 14.47
3693.500 0.19 1.44 7.47 4.83 0.33 4.31 12.93 14.49
3694.000 0.19 1.44 7.47 4.84 0.33 4.32 12.94 14.51
3694.500 0.19 1.44 7.47 4.84 0.33 4.33 12.94 14.53
3695.000 0.19 1.45 7.47 4.85 0.34 4.34 12.94 14.55
3695.500 0.19 1.45 7.47 4.85 0.34 4.35 12.94 14.56
3696.000 0.19 1.45 7.47 4.86 0.34 4.36 12.94 14.58
3696.500 0.19 1.45 7.47 4.86 0.34 4.36 12.94 14.58
3697.000 0.20 1.46 7.47 4.86 0.34 4.37 12.94 14.58
3697.500 0.20 1.46 7.47 4.86 0.34 4.38 12.94 14.58
3698.000 0.20 1.46 7.47 4.86 0.34 4.39 12.94 14.58
3698.500 0.20 1.47 7.47 4.86 0.34 4.40 12.94 14.57
3699.000 0.20 1.47 7.47 4.86 0.34 4.40 12.94 14.57
3699.500 0.20 1.47 7.47 4.86 0.34 4.41 12.94 14.57
3700.000 0.20 1.47 7.47 4.86 0.34 4.42 12.94 14.59
3700.500 0.20 1.48 7.47 4.89 0.34 4.44 12.95 14.66
3701.000 0.20 1.48 7.48 4.97 0.34 4.45 12.96 14.91
3701.500 0.20 1.49 7.49 5.11 0.34 4.47 12.97 15.32
3702.000 0.20 1.50 7.50 5.25 0.35 4.49 12.99 15.75
3702.500 0.20 1.50 7.51 5.33 0.35 4.50 13.00 16.00
3703.000 0.20 1.51 7.50 5.23 0.35 4.52 12.99 15.70
3703.500 0.20 1.51 7.49 5.08 0.35 4.54 12.97 15.25
3704.000 0.20 1.52 7.48 4.99 0.35 4.55 12.96 14.97
3704.500 0.20 1.52 7.49 5.02 0.35 4.57 12.97 15.07
3705.000 0.20 1.53 7.50 5.24 0.35 4.59 12.99 15.72
3705.500 0.20 1.53 7.53 5.73 0.35 4.60 13.05 17.19
3706.000 0.20 1.54 7.57 6.22 0.35 4.62 13.11 18.66
3706.500 0.20 1.54 7.58 6.44 0.35 4.63 13.13 19.33
3707.000 0.20 1.55 7.57 6.30 0.35 4.65 13.12 18.90
3707.500 0.21 1.55 7.54 5.80 0.36 4.66 13.06 17.41
3708.000 0.21 1.56 7.51 5.32 0.36 4.68 13.01 15.97
3708.500 0.21 1.57 7.49 5.04 0.36 4.70 12.97 15.12
3709.000 0.21 1.57 7.48 4.90 0.36 4.71 12.96 14.71
3709.500 0.21 1.58 7.48 4.86 0.37 4.73 12.95 14.59
3710.000 0.21 1.58 7.48 4.86 0.37 4.75 12.95 14.57
3710.500 0.21 1.59 7.48 4.86 0.37 4.77 12.96 14.58
3711.000 0.21 1.60 7.48 4.86 0.37 4.80 12.96 14.59
3711.500 0.22 1.61 7.48 4.87 0.37 4.83 12.96 14.60
3712.000 0.22 1.62 7.48 4.87 0.37 4.86 12.96 14.61
3712.500 0.22 1.63 7.48 4.87 0.38 4.88 12.96 14.62
3713.000 0.22 1.64 7.48 4.88 0.38 4.91 12.96 14.63
3713.500 0.22 1.65 7.49 4.89 0.38 4.94 12.97 14.67
3714.000 0.22 1.66 7.49 4.92 0.38 4.97 12.97 14.77
3714.500 0.22 1.66 7.49 4.99 0.38 4.99 12.98 14.96
3715.000 0.22 1.67 7.50 5.08 0.39 5.01 12.99 15.25
3715.500 0.22 1.68 7.50 5.14 0.39 5.03 13.00 15.43
3716.000 0.22 1.68 7.50 5.13 0.39 5.05 13.00 15.40
3716.500 0.22 1.69 7.50 5.06 0.39 5.06 12.99 15.19
3717.000 0.23 1.69 7.49 4.97 0.39 5.07 12.98 14.91
3717.500 0.23 1.69 7.49 4.91 0.39 5.08 12.97 14.74
3718.000 0.23 1.70 7.49 4.89 0.39 5.09 12.97 14.67
3718.500 0.23 1.70 7.49 4.88 0.39 5.11 12.97 14.64
3719.000 0.23 1.71 7.49 4.87 0.39 5.12 12.97 14.62
3719.500 0.23 1.71 7.49 4.87 0.40 5.13 12.97 14.61
3720.000 0.23 1.72 7.49 4.87 0.40 5.15 12.97 14.60
3720.500 0.23 1.73 7.49 4.86 0.40 5.18 12.97 14.59
3721.000 0.23 1.74 7.49 4.86 0.40 5.21 12.97 14.58
