# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3691.500 0.08 0.87 11.42 2.94 0.13 2.61 19.77 8.83
3692.000 0.08 0.87 11.42 2.95 0.13 2.62 19.77 8.85
3692.500 0.08 0.88 11.42 2.95 0.13 2.63 19.77 8.86
3693.000 0.08 0.88 11.42 2.96 0.13 2.63 19.77 8.87
3693.500 0.08 0.88 11.42 2.96 0.13 2.64 19.77 8.89
3694.000 0.08 0.88 11.42 2.97 0.13 2.65 19.78 8.90
3694.500 0.08 0.89 11.42 2.97 0.13 2.66 19.78 8.92
3695.000 0.08 0.89 11.42 2.98 0.13 2.66 19.78 8.93
3695.500 0.08 0.89 11.42 2.98 0.13 2.67 19.78 8.94
3696.000 0.08 0.89 11.42 2.98 0.14 2.67 19.78 8.95
3696.500 0.08 0.89 11.42 2.99 0.14 2.68 19.78 8.96
3697.000 0.08 0.90 11.42 2.99 0.14 2.69 19.78 8.96
3697.500 0.08 0.90 11.42 2.99 0.14 2.69 19.78 8.96
3698.000 0.08 0.90 11.42 2.99 0.14 2.70 19.78 8.96
3698.500 0.08 0.90 11.42 2.99 0.14 2.70 19.78 8.96
3699.000 0.08 0.90 11.42 2.99 0.14 2.71 19.78 8.96
3699.500 0.08 0.90 11.42 2.98 0.14 2.71 19.78 8.95
3700.000 0.08 0.91 11.42 2.98 0.14 2.72 19.78 8.95
3700.500 0.08 0.91 11.42 2.99 0.14 2.73 19.78 8.97
3701.000 0.08 0.91 11.42 3.02 0.14 2.74 19.78 9.07
3701.500 0.08 0.92 11.43 3.13 0.14 2.75 19.79 9.39
3702.000 0.08 0.92 11.43 3.27 0.14 2.76 19.80 9.80
3702.500 0.08 0.92 11.44 3.37 0.14 2.77 19.81 10.10
3703.000 0.08 0.93 11.43 3.25 0.14 2.78 19.80 9.74
3703.500 0.08 0.93 11.43 3.10 0.14 2.79 19.79 9.31
3704.000 0.08 0.93 11.42 3.02 0.14 2.80 19.78 9.06
3704.500 0.08 0.94 11.42 3.02 0.14 2.81 19.78 9.06
3705.000 0.08 0.94 11.43 3.12 0.14 2.82 19.79 9.35
3705.500 0.08 0.94 11.44 3.48 0.14 2.83 19.82 10.43
