ap_id	lambda	zero_point
  101     6088      17.63
  101     6090      17.78
  101     6092      17.89
  101     6094      17.99
  101     6096      18.08
  101     6098      18.18
  101     6100      18.25
  101     6102      18.34
  101     6104      18.40
  101     6106      18.45
  101     6108      18.48
  101     6110      18.52
  101     6112      18.55
  101     6114      18.57
  101     6116      18.59
  101     6118      18.59
  101     6120      18.61
  101     6122      18.60
  101     6124      18.60
  101     6126      18.59
  101     6128      18.57
  101     6130      18.54
  101     6132      18.51
  101     6134      18.47
  101     6136      18.42
  101     6138      18.37
  101     6140      18.31
  101     6142      18.23
  101     6144      18.16
  101     6146      18.08
  100     6146      17.37
  100     6148      17.50
  100     6150      17.62
  100     6152      17.74
  100     6154      17.86
  100     6156      17.95
  100     6158      18.04
  100     6160      18.12
  100     6162      18.21
  100     6164      18.27
  100     6166      18.32
  100     6168      18.37
  100     6170      18.40
  100     6172      18.44
  100     6174      18.47
  100     6176      18.50
  100     6178      18.52
  100     6180      18.53
  100     6182      18.55
  100     6184      18.54
  100     6186      18.54
  100     6188      18.52
  100     6190      18.50
  100     6192      18.48
  100     6194      18.45
  100     6196      18.40
  100     6198      18.36
  100     6200      18.31
  100     6202      18.25
  100     6204      18.18
  100     6206      18.10
  100     6208      18.03
   99     6210      17.41
   99     6212      17.53
   99     6214      17.65
   99     6216      17.77
   99     6218      17.85
   99     6220      17.97
   99     6222      18.03
   99     6224      18.12
   99     6226      18.18
   99     6228      18.23
   99     6230      18.28
   99     6232      18.30
   99     6234      18.35
   99     6236      18.38
   99     6238      18.41
   99     6240      18.43
   99     6242      18.46
   99     6244      18.45
   99     6246      18.46
   99     6248      18.46
   99     6250      18.44
   99     6252      18.43
   99     6254      18.40
   99     6256      18.38
   99     6258      18.34
   99     6260      18.30
   99     6262      18.25
   99     6264      18.21
   99     6266      18.15
   99     6268      18.09
   99     6270      18.02
   99     6272      17.94
   98     6274      17.36
   98     6276      17.48
   98     6278      17.57
   98     6280      17.60
   98     6282      17.77
   98     6284      17.88
   98     6286      17.97
   98     6288      18.06
   98     6290      18.11
   98     6292      18.16
   98     6294      18.18
   98     6296      18.22
   98     6298      18.25
   98     6300      18.27
   98     6302      18.30
   98     6304      18.29
   98     6306      18.32
   98     6308      18.29
   98     6310      18.30
   98     6312      18.28
   98     6314      18.28
   98     6316      18.28
   98     6318      18.26
   98     6320      18.23
   98     6322      18.21
   98     6324      18.17
   98     6326      18.12
   98     6328      18.10
   98     6330      18.09
   98     6332      18.04
   98     6334      17.98
   98     6336      17.91
   97     6338      17.22
   97     6340      17.36
   97     6342      17.47
   97     6344      17.58
   97     6346      17.69
   97     6348      17.78
   97     6350      17.86
   97     6352      17.93
   97     6354      17.98
   97     6356      18.01
   97     6358      18.06
   97     6360      18.10
   97     6362      18.12
   97     6364      18.15
   97     6366      18.17
   97     6368      18.19
   97     6370      18.19
   97     6372      18.20
   97     6374      18.20
   97     6376      18.20
   97     6378      18.19
   97     6380      18.10
   97     6382      18.11
   97     6384      18.13
   97     6386      18.10
   97     6388      18.07
   97     6390      18.03
   97     6392      17.98
   97     6394      17.97
   97     6396      17.98
   97     6398      17.95
   97     6400      17.90
   97     6402      17.80
   96     6406      17.19
   96     6408      17.31
   96     6410      17.43
   96     6412      17.54
   96     6414      17.63
   96     6416      17.71
   96     6418      17.78
   96     6420      17.83
   96     6422      17.85
   96     6424      17.88
   96     6426      17.93
   96     6428      17.95
   96     6430      17.99
   96     6432      18.00
   96     6434      18.01
   96     6436      18.01
   96     6438      18.02
   96     6440      18.03
   96     6442      18.04
   96     6444      18.02
   96     6446      18.01
   96     6448      17.99
   96     6450      17.97
   96     6452      17.95
   96     6454      17.93
   96     6456      17.89
   96     6458      17.85
   96     6460      17.80
   96     6462      17.83
   96     6464      17.86
   96     6466      17.86
   96     6468      17.80
   96     6470      17.72
   95     6474      17.11
   95     6476      17.22
   95     6478      17.30
   95     6480      17.42
   95     6482      17.49
   95     6484      17.59
   95     6486      17.60
   95     6488      17.64
   95     6490      17.67
   95     6492      17.69
   95     6494      17.71
   95     6496      17.75
   95     6498      17.75
   95     6500      17.77
   95     6502      17.78
   95     6504      17.77
   95     6506      17.77
   95     6508      17.77
   95     6510      17.76
   95     6512      17.76
   95     6514      17.74
   95     6516      17.70
   95     6518      17.67
   95     6520      17.68
   95     6522      17.65
   95     6524      17.62
   95     6526      17.56
   95     6528      17.53
   95     6530      17.56
   95     6532      17.66
   95     6534      17.69
   95     6536      17.69
   95     6538      17.63
   95     6540      17.55
   94     6542      16.84
   94     6544      16.89
   94     6546      16.93
   94     6548      16.99
   94     6550      17.00
   94     6552      17.06
   94     6554      17.03
   94     6556      16.98
   94     6558      16.86
   94     6560      16.71
   94     6562      16.70
   94     6564      16.75
   94     6566      16.89
   94     6568      16.96
   94     6570      16.98
   94     6572      17.00
   94     6574      16.98
   94     6576      16.98
   94     6578      16.99
   94     6580      17.00
   94     6582      16.98
   94     6584      16.98
   94     6586      17.00
   94     6588      16.99
   94     6590      16.99
   94     6592      17.01
   94     6594      17.00
   94     6596      17.01
   94     6598      16.99
   94     6600      17.05
   94     6602      17.20
   94     6604      17.32
   94     6606      17.38
   94     6608      17.38
   94     6610      17.35
