ap_id	lambda	zero_point
  142     4336      18.52
  142     4338      18.41
  142     4340      18.32
  142     4342      18.46
  142     4344      18.57
  142     4346      18.56
  142     4348      18.50
  142     4350      18.41
  142     4352      18.29
  142     4354      18.14
  142     4356      17.96
  142     4358      17.74
  141     4346      16.41
  141     4348      16.83
  141     4350      17.19
  141     4352      17.48
  141     4354      17.74
  141     4356      17.95
  141     4358      18.13
  141     4360      18.28
  141     4362      18.41
  141     4364      18.51
  141     4366      18.59
  141     4368      18.64
  141     4370      18.68
  141     4372      18.68
  141     4374      18.67
  141     4376      18.63
  141     4378      18.54
  141     4380      18.45
  141     4382      18.36
  141     4384      18.24
  141     4386      18.07
  141     4388      17.85
  140     4378      16.62
  140     4380      16.97
  140     4382      17.32
  140     4384      17.59
  140     4386      17.82
  140     4388      17.98
  140     4390      18.19
  140     4392      18.33
  140     4394      18.46
  140     4396      18.55
  140     4398      18.62
  140     4400      18.67
  140     4402      18.69
  140     4404      18.70
  140     4406      18.68
  140     4408      18.63
  140     4410      18.57
  140     4412      18.48
  140     4414      18.37
  140     4416      18.23
  140     4418      18.08
  140     4420      17.88
  139     4408      16.33
  139     4410      16.72
  139     4412      17.08
  139     4414      17.37
  139     4416      17.64
  139     4418      17.86
  139     4420      18.07
  139     4422      18.24
  139     4424      18.37
  139     4426      18.48
  139     4428      18.57
  139     4430      18.65
  139     4432      18.69
  139     4434      18.71
  139     4436      18.72
  139     4438      18.69
  139     4440      18.65
  139     4442      18.58
  139     4444      18.50
  139     4446      18.39
  139     4448      18.27
  139     4450      18.11
  139     4452      17.93
  138     4442      16.72
  138     4444      17.07
  138     4446      17.36
  138     4448      17.62
  138     4450      17.85
  138     4452      18.06
  138     4454      18.22
  138     4456      18.34
  138     4458      18.46
  138     4460      18.57
  138     4462      18.63
  138     4464      18.69
  138     4466      18.71
  138     4468      18.72
  138     4470      18.65
  138     4472      18.48
  138     4474      18.59
  138     4476      18.53
  138     4478      18.43
  138     4480      18.29
  138     4482      18.14
  138     4484      17.99
  137     4474      16.59
  137     4476      16.98
  137     4478      17.26
  137     4480      17.52
  137     4482      17.75
  137     4484      17.97
  137     4486      18.16
  137     4488      18.29
  137     4490      18.42
  137     4492      18.52
  137     4494      18.61
  137     4496      18.66
  137     4498      18.69
  137     4500      18.72
  137     4502      18.71
  137     4504      18.68
  137     4506      18.64
  137     4508      18.57
  137     4510      18.47
  137     4512      18.36
  137     4514      18.23
  137     4516      18.08
  137     4518      17.89
  136     4506      16.40
  136     4508      16.79
  136     4510      17.09
  136     4512      17.37
  136     4514      17.62
  136     4516      17.84
  136     4518      18.03
  136     4520      18.22
  136     4522      18.34
  136     4524      18.45
  136     4526      18.55
  136     4528      18.62
  136     4530      18.65
  136     4532      18.69
  136     4534      18.67
  136     4536      18.66
  136     4538      18.56
  136     4540      18.40
  136     4542      18.23
  136     4544      18.31
  136     4546      18.28
  136     4548      18.17
  136     4550      18.04
  136     4552      17.87
  135     4540      16.30
  135     4542      16.54
  135     4544      17.00
  135     4546      17.36
  135     4548      17.64
  135     4550      17.87
  135     4552      18.06
  135     4554      18.22
  135     4556      18.35
  135     4558      18.46
  135     4560      18.55
  135     4562      18.63
  135     4564      18.68
  135     4566      18.70
  135     4568      18.72
  135     4570      18.70
  135     4572      18.68
  135     4574      18.62
  135     4576      18.55
  135     4578      18.47
  135     4580      18.35
  135     4582      18.23
  135     4584      18.06
  135     4586      17.89
  134     4574      16.51
  134     4576      16.85
  134     4578      17.16
  134     4580      17.43
  134     4582      17.67
  134     4584      17.88
  134     4586      18.07
  134     4588      18.23
  134     4590      18.36
  134     4592      18.46
  134     4594      18.56
  134     4596      18.63
  134     4598      18.69
  134     4600      18.72
  134     4602      18.73
  134     4604      18.72
  134     4606      18.69
  134     4608      18.65
  134     4610      18.57
  134     4612      18.51
  134     4614      18.41
  134     4616      18.29
  134     4618      18.15
  134     4620      17.97
  133     4610      16.79
  133     4612      17.11
  133     4614      17.38
  133     4616      17.63
  133     4618      17.86
  133     4620      18.04
  133     4622      18.20
  133     4624      18.35
  133     4626      18.47
  133     4628      18.56
  133     4630      18.63
  133     4632      18.69
  133     4634      18.77
  133     4636      18.78
  133     4638      18.77
  133     4640      18.77
  133     4642      18.72
  133     4644      18.68
  133     4646      18.60
  133     4648      18.52
  133     4650      18.41
  133     4652      18.28
  133     4654      18.11
  133     4656      17.95
  132     4644      16.66
  132     4646      16.99
  132     4648      17.29
  132     4650      17.55
  132     4652      17.78
  132     4654      17.97
  132     4656      18.15
  132     4658      18.31
  132     4660      18.44
  132     4662      18.55
  132     4664      18.64
  132     4666      18.71
  132     4668      18.75
  132     4670      18.79
  132     4672      18.79
  132     4674      18.79
  132     4676      18.76
  132     4678      18.72
  132     4680      18.64
  132     4682      18.52
  132     4684      18.30
  132     4686      18.00
  132     4688      18.12
  132     4690      18.04
  131     4680      16.72
  131     4682      17.00
  131     4684      17.16
  131     4686      17.23
  131     4688      17.68
  131     4690      17.95
  131     4692      18.17
  131     4694      18.33
  131     4696      18.46
  131     4698      18.57
  131     4700      18.66
  131     4702      18.74
  131     4704      18.78
  131     4706      18.81
  131     4708      18.82
  131     4710      18.82
  131     4712      18.79
  131     4714      18.73
  131     4716      18.71
  131     4718      18.64
  131     4720      18.55
  131     4722      18.44
  131     4724      18.30
  131     4726      18.14
  130     4716      16.77
  130     4718      17.10
  130     4720      17.36
  130     4722      17.62
  130     4724      17.84
  130     4726      18.04
  130     4728      18.20
  130     4730      18.35
  130     4732      18.48
  130     4734      18.58
  130     4736      18.67
  130     4738      18.75
  130     4740      18.79
  130     4742      18.83
  130     4744      18.85
  130     4746      18.85
  130     4748      18.84
  130     4750      18.80
  130     4752      18.76
  130     4754      18.69
  130     4756      18.60
  130     4758      18.50
  130     4760      18.37
  130     4762      18.22
  130     4764      18.06
  129     4754      17.01
  129     4756      17.30
  129     4758      17.55
  129     4760      17.77
